timestamp,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,anomaly_score,is_anomaly,alert_level
1719729697.964903,172.64.41.4,192.168.238.131,443,37748,TCP,1097,-0.2,1,MEDIUM
1719729697.981471,192.168.238.131,34.120.208.123,44476,443,TCP,60,0.0,0,NORMAL
1719729697.983467,192.168.238.131,77.88.55.242,36436,443,TCP,295,0.0,0,MEDIUM
1719729698.444664,192.168.238.131,213.180.204.158,60334,443,TCP,337,-0.1,0,MEDIUM
1719729698.477236,178.154.131.217,192.168.238.131,443,43778,TCP,23,0.0,0,NORMAL
1719729698.477776,178.154.131.217,192.168.238.131,443,43784,TCP,75,0.0,0,NORMAL
1719729698.482752,178.154.131.217,192.168.238.131,443,43798,TCP,22,0.0,0,NORMAL
1719729698.48296,178.154.131.217,192.168.238.131,443,43804,TCP,22,0.0,0,NORMAL
1719729698.483156,178.154.131.217,192.168.238.131,443,43820,TCP,23,0.0,0,NORMAL
1719729698.524281,192.168.238.131,5.255.255.77,44368,443,TCP,61,0.0,0,NORMAL
1719729698.53799,178.154.131.215,192.168.238.131,443,33790,TCP,22,0.0,0,NORMAL
1719729698.632688,178.154.131.215,192.168.238.131,443,33796,TCP,21,0.0,0,NORMAL
1719729698.632998,178.154.131.215,192.168.238.131,443,33810,TCP,23,0.0,0,NORMAL
1719729698.637048,178.154.131.215,192.168.238.131,443,33812,TCP,23,0.0,0,NORMAL
1719729698.637386,178.154.131.215,192.168.238.131,443,33826,TCP,38,0.0,0,NORMAL
1719729698.637776,178.154.131.215,192.168.238.131,443,33830,TCP,22,0.0,0,NORMAL
1719729698.652703,104.18.21.226,192.168.238.131,80,35674,TCP,62,0.0,0,NORMAL
1719729699.520898,192.168.238.131,87.250.247.182,53364,443,TCP,165,-0.1,0,MEDIUM
1719729699.525727,192.168.238.131,87.250.247.181,58602,443,TCP,27,-0.1,0,LOW
1719729699.527314,192.168.238.131,87.250.247.181,58616,443,TCP,25,-0.1,0,LOW
1719729699.584841,192.168.238.131,87.250.247.181,58622,443,TCP,24,-0.1,0,LOW
1719729699.591283,192.168.238.131,87.250.247.181,58634,443,TCP,24,-0.1,0,LOW
1719729699.594034,192.168.238.131,87.250.247.181,58648,443,TCP,22,-0.1,0,LOW
1719729699.750955,104.18.21.226,192.168.238.131,80,35678,TCP,7,0.0,0,NORMAL
1719729699.751185,104.18.21.226,192.168.238.131,80,35694,TCP,39,0.0,0,NORMAL
1719729699.926782,192.168.238.131,93.158.134.119,39672,443,TCP,76,0.0,0,NORMAL
1719729700.244727,192.168.238.131,213.180.204.90,56350,443,TCP,39,-0.1,0,LOW
1719729700.244976,192.168.238.131,213.180.204.90,56354,443,TCP,41,-0.1,0,LOW
1719729700.370177,192.168.238.131,45.8.111.117,50774,443,TCP,30,-0.1,0,LOW
1719729700.416063,104.18.38.233,192.168.238.131,80,53536,TCP,34,0.0,0,NORMAL
1719729700.524935,192.168.238.131,93.158.134.36,47904,443,TCP,19,0.0,0,NORMAL
1719729700.525231,192.168.238.131,93.158.134.36,47906,443,TCP,46,0.0,0,NORMAL
1719729700.54737,192.168.238.131,77.88.21.36,37036,443,TCP,46,0.0,0,NORMAL
1719729700.547717,192.168.238.131,77.88.21.36,37044,443,TCP,46,0.0,0,NORMAL
1719729700.657326,192.168.238.131,64.233.165.95,49150,443,TCP,24,0.0,0,NORMAL
1719729702.793726,172.64.41.4,192.168.238.131,443,37760,TCP,44,0.0,0,NORMAL
1719729731.008185,192.168.238.128,192.168.238.155,0,0,ICMP,8,0.0,0,NORMAL
1719729723.981758,192.168.238.128,192.168.238.2,42098,53,UDP,2,0.0,0,NORMAL
1719729724.010219,192.168.238.128,192.168.238.155,40001,587,TCP,2,0.0,0,NORMAL
1719729724.017593,192.168.238.128,192.168.238.155,40001,1025,TCP,2,0.0,0,NORMAL
1719729724.017904,192.168.238.128,192.168.238.155,40001,110,TCP,2,0.0,0,NORMAL
1719729724.018013,192.168.238.128,192.168.238.155,40001,993,TCP,2,0.0,0,NORMAL
1719729724.018115,192.168.238.128,192.168.238.155,40001,113,TCP,2,0.0,0,NORMAL
1719729724.018199,192.168.238.128,192.168.238.155,40001,53,TCP,2,0.0,0,NORMAL
1719729724.018285,192.168.238.128,192.168.238.155,40001,25,TCP,2,0.0,0,NORMAL
1719729724.018385,192.168.238.128,192.168.238.155,40001,23,TCP,2,0.0,0,NORMAL
1719729724.018481,192.168.238.128,192.168.238.155,40001,139,TCP,2,0.0,0,NORMAL
1719729724.018568,192.168.238.128,192.168.238.155,40001,995,TCP,2,0.0,0,NORMAL
1719729724.018873,192.168.238.128,192.168.238.155,40001,143,TCP,2,0.0,0,NORMAL
1719729724.019076,192.168.238.128,192.168.238.155,40001,1720,TCP,2,0.0,0,NORMAL
1719729724.019332,192.168.238.128,192.168.238.155,40001,135,TCP,2,0.0,0,NORMAL
1719729724.019445,192.168.238.128,192.168.238.155,40001,5900,TCP,2,0.0,0,NORMAL
1719729724.019528,192.168.238.128,192.168.238.155,40001,80,TCP,3,0.0,0,NORMAL
1719729724.019664,192.168.238.128,192.168.238.155,40001,111,TCP,2,0.0,0,NORMAL
1719729724.019772,192.168.238.128,192.168.238.155,40001,554,TCP,2,0.0,0,NORMAL
1719729724.019847,192.168.238.128,192.168.238.155,40001,8080,TCP,2,0.0,0,NORMAL
1719729724.019969,192.168.238.128,192.168.238.155,40001,3306,TCP,2,0.0,0,NORMAL
1719729724.020359,192.168.238.128,192.168.238.155,40001,443,TCP,2,0.0,0,NORMAL
1719729724.02049,192.168.238.128,192.168.238.155,40001,22,TCP,3,0.0,0,NORMAL
1719729724.020585,192.168.238.128,192.168.238.155,40001,199,TCP,2,0.0,0,NORMAL
1719729724.020675,192.168.238.128,192.168.238.155,40001,21,TCP,3,0.0,0,NORMAL
1719729724.020801,192.168.238.128,192.168.238.155,40001,256,TCP,2,0.0,0,NORMAL
1719729724.020817,192.168.238.128,192.168.238.155,40001,1723,TCP,2,0.0,0,NORMAL
1719729724.020827,192.168.238.128,192.168.238.155,40001,445,TCP,2,0.0,0,NORMAL
1719729724.020843,192.168.238.128,192.168.238.155,40001,3389,TCP,2,0.0,0,NORMAL
1719729724.020854,192.168.238.128,192.168.238.155,40001,8888,TCP,2,0.0,0,NORMAL
1719729724.02088,192.168.238.128,192.168.238.155,40001,8000,TCP,2,0.0,0,NORMAL
1719729724.020904,192.168.238.128,192.168.238.155,40001,1137,TCP,2,0.0,0,NORMAL
1719729724.02132,192.168.238.128,192.168.238.155,40001,5810,TCP,2,0.0,0,NORMAL
1719729724.021418,192.168.238.128,192.168.238.155,40001,2002,TCP,2,0.0,0,NORMAL
1719729724.021494,192.168.238.128,192.168.238.155,40001,1947,TCP,2,0.0,0,NORMAL
1719729724.021565,192.168.238.128,192.168.238.155,40001,8089,TCP,2,0.0,0,NORMAL
1719729724.021653,192.168.238.128,192.168.238.155,40001,992,TCP,2,0.0,0,NORMAL
1719729724.021731,192.168.238.128,192.168.238.155,40001,1433,TCP,2,0.0,0,NORMAL
1719729724.021822,192.168.238.128,192.168.238.155,40001,3828,TCP,2,0.0,0,NORMAL
1719729724.021907,192.168.238.128,192.168.238.155,40001,49157,TCP,2,0.0,0,NORMAL
1719729724.021996,192.168.238.128,192.168.238.155,40001,2702,TCP,2,0.0,0,NORMAL
1719729724.022089,192.168.238.128,192.168.238.155,40001,2710,TCP,2,0.0,0,NORMAL
1719729724.02217,192.168.238.128,192.168.238.155,40001,3013,TCP,2,0.0,0,NORMAL
1719729724.022282,192.168.238.128,192.168.238.155,40001,3551,TCP,2,0.0,0,NORMAL
1719729724.022375,192.168.238.128,192.168.238.155,40001,19842,TCP,2,0.0,0,NORMAL
1719729724.022478,192.168.238.128,192.168.238.155,40001,3827,TCP,2,0.0,0,NORMAL
1719729724.022603,192.168.238.128,192.168.238.155,40001,64623,TCP,2,0.0,0,NORMAL
1719729724.022706,192.168.238.128,192.168.238.155,40001,9103,TCP,2,0.0,0,NORMAL
1719729724.022795,192.168.238.128,192.168.238.155,40001,6123,TCP,2,0.0,0,NORMAL
1719729724.022868,192.168.238.128,192.168.238.155,40001,3878,TCP,2,0.0,0,NORMAL
1719729724.022943,192.168.238.128,192.168.238.155,40001,2401,TCP,2,0.0,0,NORMAL
1719729724.023996,192.168.238.128,192.168.238.155,40001,49175,TCP,2,0.0,0,NORMAL
1719729724.024072,192.168.238.128,192.168.238.155,40001,2968,TCP,2,0.0,0,NORMAL
1719729724.024148,192.168.238.128,192.168.238.155,40001,500,TCP,2,0.0,0,NORMAL
1719729724.024229,192.168.238.128,192.168.238.155,40001,749,TCP,2,0.0,0,NORMAL
1719729724.024433,192.168.238.128,192.168.238.155,40001,1052,TCP,2,0.0,0,NORMAL
1719729724.024641,192.168.238.128,192.168.238.155,40001,55600,TCP,2,0.0,0,NORMAL
1719729724.024812,192.168.238.128,192.168.238.155,40001,3809,TCP,2,0.0,0,NORMAL
1719729724.025065,192.168.238.128,192.168.238.155,40001,49400,TCP,2,0.0,0,NORMAL
1719729724.025352,192.168.238.128,192.168.238.155,40001,32781,TCP,2,0.0,0,NORMAL
1719729724.025461,192.168.238.128,192.168.238.155,40001,4321,TCP,2,0.0,0,NORMAL
1719729724.025647,192.168.238.128,192.168.238.155,40001,3814,TCP,2,0.0,0,NORMAL
1719729724.025864,192.168.238.128,192.168.238.155,40001,1061,TCP,2,0.0,0,NORMAL
1719729724.026082,192.168.238.128,192.168.238.155,40001,6692,TCP,2,0.0,0,NORMAL
1719729724.026576,192.168.238.128,192.168.238.155,40001,981,TCP,2,0.0,0,NORMAL
1719729724.026975,192.168.238.128,192.168.238.155,40001,5922,TCP,2,0.0,0,NORMAL
1719729724.027024,192.168.238.128,192.168.238.155,40001,25735,TCP,2,0.0,0,NORMAL
1719729724.02707,192.168.238.128,192.168.238.155,40001,6112,TCP,2,0.0,0,NORMAL
1719729724.027104,192.168.238.128,192.168.238.155,40001,7007,TCP,2,0.0,0,NORMAL
1719729724.02714,192.168.238.128,192.168.238.155,40001,10024,TCP,2,0.0,0,NORMAL
1719729724.027176,192.168.238.128,192.168.238.155,40001,3476,TCP,2,0.0,0,NORMAL
1719729724.027212,192.168.238.128,192.168.238.155,40001,54045,TCP,2,0.0,0,NORMAL
1719729724.027327,192.168.238.128,192.168.238.155,40001,1138,TCP,2,0.0,0,NORMAL
1719729724.02737,192.168.238.128,192.168.238.155,40001,2100,TCP,2,0.0,0,NORMAL
1719729724.02741,192.168.238.128,192.168.238.155,40001,5730,TCP,2,0.0,0,NORMAL
1719729724.027457,192.168.238.128,192.168.238.155,40001,783,TCP,2,0.0,0,NORMAL
1719729724.02753,192.168.238.128,192.168.238.155,40001,9003,TCP,2,0.0,0,NORMAL
1719729724.027604,192.168.238.128,192.168.238.155,40001,2875,TCP,2,0.0,0,NORMAL
1719729724.027696,192.168.238.128,192.168.238.155,40001,49165,TCP,2,0.0,0,NORMAL
1719729724.027867,192.168.238.128,192.168.238.155,40001,4899,TCP,2,0.0,0,NORMAL
1719729724.027961,192.168.238.128,192.168.238.155,40001,416,TCP,2,0.0,0,NORMAL
1719729724.028035,192.168.238.128,192.168.238.155,40001,16012,TCP,2,0.0,0,NORMAL
1719729724.028105,192.168.238.128,192.168.238.155,40001,8180,TCP,2,0.0,0,NORMAL
1719729724.028198,192.168.238.128,192.168.238.155,40001,32773,TCP,2,0.0,0,NORMAL
1719729724.028273,192.168.238.128,192.168.238.155,40001,20031,TCP,2,0.0,0,NORMAL
1719729724.028374,192.168.238.128,192.168.238.155,40001,6502,TCP,2,0.0,0,NORMAL
1719729724.028473,192.168.238.128,192.168.238.155,40001,33354,TCP,2,0.0,0,NORMAL
1719729724.028551,192.168.238.128,192.168.238.155,40001,50300,TCP,2,0.0,0,NORMAL
1719729724.028631,192.168.238.128,192.168.238.155,40001,1031,TCP,2,0.0,0,NORMAL
1719729724.028737,192.168.238.128,192.168.238.155,40001,888,TCP,2,0.0,0,NORMAL
1719729724.028812,192.168.238.128,192.168.238.155,40001,7676,TCP,2,0.0,0,NORMAL
1719729724.028883,192.168.238.128,192.168.238.155,40001,3369,TCP,2,0.0,0,NORMAL
1719729724.028959,192.168.238.128,192.168.238.155,40001,2909,TCP,2,0.0,0,NORMAL
1719729724.029036,192.168.238.128,192.168.238.155,40001,10003,TCP,2,0.0,0,NORMAL
1719729724.02913,192.168.238.128,192.168.238.155,40001,7800,TCP,2,0.0,0,NORMAL
1719729724.029206,192.168.238.128,192.168.238.155,40001,1094,TCP,2,0.0,0,NORMAL
1719729724.029285,192.168.238.128,192.168.238.155,40001,2869,TCP,2,0.0,0,NORMAL
1719729724.029363,192.168.238.128,192.168.238.155,40001,667,TCP,2,0.0,0,NORMAL
1719729724.029442,192.168.238.128,192.168.238.155,40001,1096,TCP,2,0.0,0,NORMAL
1719729724.02952,192.168.238.128,192.168.238.155,40001,9666,TCP,2,0.0,0,NORMAL
1719729724.029602,192.168.238.128,192.168.238.155,40001,2065,TCP,2,0.0,0,NORMAL
1719729724.029684,192.168.238.128,192.168.238.155,40001,3031,TCP,2,0.0,0,NORMAL
1719729724.029766,192.168.238.128,192.168.238.155,40001,9290,TCP,2,0.0,0,NORMAL
1719729724.029842,192.168.238.128,192.168.238.155,40001,5222,TCP,2,0.0,0,NORMAL
1719729724.02992,192.168.238.128,192.168.238.155,40001,2020,TCP,2,0.0,0,NORMAL
1719729724.030793,192.168.238.128,192.168.238.155,40001,5960,TCP,2,0.0,0,NORMAL
1719729724.030963,192.168.238.128,192.168.238.155,40001,5280,TCP,2,0.0,0,NORMAL
1719729724.031141,192.168.238.128,192.168.238.155,40001,42510,TCP,2,0.0,0,NORMAL
1719729724.031156,192.168.238.128,192.168.238.155,40001,8007,TCP,2,0.0,0,NORMAL
1719729724.031195,192.168.238.128,192.168.238.155,40001,5999,TCP,2,0.0,0,NORMAL
1719729724.03123,192.168.238.128,192.168.238.155,40001,497,TCP,2,0.0,0,NORMAL
1719729724.031288,192.168.238.128,192.168.238.155,40001,1234,TCP,2,0.0,0,NORMAL
1719729724.0313,192.168.238.128,192.168.238.155,40001,19283,TCP,2,0.0,0,NORMAL
1719729724.031338,192.168.238.128,192.168.238.155,40001,19101,TCP,2,0.0,0,NORMAL
1719729724.031352,192.168.238.128,192.168.238.155,40001,9002,TCP,2,0.0,0,NORMAL
1719729724.031394,192.168.238.128,192.168.238.155,40001,4848,TCP,2,0.0,0,NORMAL
1719729724.031409,192.168.238.128,192.168.238.155,40001,543,TCP,2,0.0,0,NORMAL
1719729724.031453,192.168.238.128,192.168.238.155,40001,5102,TCP,2,0.0,0,NORMAL
1719729724.031466,192.168.238.128,192.168.238.155,40001,1064,TCP,2,0.0,0,NORMAL
1719729724.03151,192.168.238.128,192.168.238.155,40001,1500,TCP,2,0.0,0,NORMAL
1719729724.031523,192.168.238.128,192.168.238.155,40001,3007,TCP,2,0.0,0,NORMAL
1719729724.034067,192.168.238.128,192.168.238.155,40001,1130,TCP,2,0.0,0,NORMAL
1719729724.03422,192.168.238.128,192.168.238.155,40001,593,TCP,2,0.0,0,NORMAL
1719729724.034254,192.168.238.128,192.168.238.155,40001,3580,TCP,2,0.0,0,NORMAL
1719729724.034396,192.168.238.128,192.168.238.155,40001,3689,TCP,2,0.0,0,NORMAL
1719729724.034425,192.168.238.128,192.168.238.155,40001,311,TCP,2,0.0,0,NORMAL
1719729724.034554,192.168.238.128,192.168.238.155,40001,1755,TCP,2,0.0,0,NORMAL
1719729724.034584,192.168.238.128,192.168.238.155,40001,32769,TCP,2,0.0,0,NORMAL
1719729724.034683,192.168.238.128,192.168.238.155,40001,301,TCP,2,0.0,0,NORMAL
1719729724.034709,192.168.238.128,192.168.238.155,40001,15002,TCP,2,0.0,0,NORMAL
1719729724.034794,192.168.238.128,192.168.238.155,40001,5877,TCP,2,0.0,0,NORMAL
1719729724.03482,192.168.238.128,192.168.238.155,40001,5801,TCP,2,0.0,0,NORMAL
1719729724.034905,192.168.238.128,192.168.238.155,40001,49163,TCP,2,0.0,0,NORMAL
1719729724.034934,192.168.238.128,192.168.238.155,40001,2038,TCP,2,0.0,0,NORMAL
1719729724.035027,192.168.238.128,192.168.238.155,40001,631,TCP,2,0.0,0,NORMAL
1719729724.035057,192.168.238.128,192.168.238.155,40001,9502,TCP,2,0.0,0,NORMAL
1719729724.035151,192.168.238.128,192.168.238.155,40001,777,TCP,2,0.0,0,NORMAL
1719729724.035178,192.168.238.128,192.168.238.155,40001,2161,TCP,2,0.0,0,NORMAL
1719729724.03527,192.168.238.128,192.168.238.155,40001,2043,TCP,2,0.0,0,NORMAL
1719729724.035299,192.168.238.128,192.168.238.155,40001,1038,TCP,2,0.0,0,NORMAL
1719729724.035383,192.168.238.128,192.168.238.155,40001,18988,TCP,2,0.0,0,NORMAL
1719729724.03541,192.168.238.128,192.168.238.155,40001,7103,TCP,2,0.0,0,NORMAL
1719729724.03552,192.168.238.128,192.168.238.155,40001,5822,TCP,2,0.0,0,NORMAL
1719729724.035552,192.168.238.128,192.168.238.155,40001,99,TCP,2,0.0,0,NORMAL
1719729724.035649,192.168.238.128,192.168.238.155,40001,10617,TCP,2,0.0,0,NORMAL
1719729724.035679,192.168.238.128,192.168.238.155,40001,1106,TCP,2,0.0,0,NORMAL
1719729724.035873,192.168.238.128,192.168.238.155,40001,7435,TCP,2,0.0,0,NORMAL
1719729724.0359,192.168.238.128,192.168.238.155,40001,9594,TCP,2,0.0,0,NORMAL
1719729724.036125,192.168.238.128,192.168.238.155,40001,1259,TCP,2,0.0,0,NORMAL
1719729724.036149,192.168.238.128,192.168.238.155,40001,32772,TCP,2,0.0,0,NORMAL
1719729724.036237,192.168.238.128,192.168.238.155,40001,2144,TCP,2,0.0,0,NORMAL
1719729724.036264,192.168.238.128,192.168.238.155,40001,8652,TCP,2,0.0,0,NORMAL
1719729724.036353,192.168.238.128,192.168.238.155,40001,2718,TCP,2,0.0,0,NORMAL
1719729724.036379,192.168.238.128,192.168.238.155,40001,903,TCP,2,0.0,0,NORMAL
1719729724.03647,192.168.238.128,192.168.238.155,40001,9900,TCP,2,0.0,0,NORMAL
1719729724.036496,192.168.238.128,192.168.238.155,40001,10778,TCP,2,0.0,0,NORMAL
1719729724.03659,192.168.238.128,192.168.238.155,40001,9081,TCP,2,0.0,0,NORMAL
1719729724.036615,192.168.238.128,192.168.238.155,40001,808,TCP,2,0.0,0,NORMAL
1719729724.036782,192.168.238.128,192.168.238.155,40001,1187,TCP,2,0.0,0,NORMAL
1719729724.03682,192.168.238.128,192.168.238.155,40001,5414,TCP,2,0.0,0,NORMAL
1719729724.036925,192.168.238.128,192.168.238.155,40001,3367,TCP,2,0.0,0,NORMAL
1719729724.036956,192.168.238.128,192.168.238.155,40001,1113,TCP,2,0.0,0,NORMAL
1719729724.037046,192.168.238.128,192.168.238.155,40001,1185,TCP,2,0.0,0,NORMAL
1719729724.037076,192.168.238.128,192.168.238.155,40001,8333,TCP,2,0.0,0,NORMAL
1719729724.037181,192.168.238.128,192.168.238.155,40001,1043,TCP,2,0.0,0,NORMAL
1719729724.037194,192.168.238.128,192.168.238.155,40001,10215,TCP,2,0.0,0,NORMAL
1719729724.037261,192.168.238.128,192.168.238.155,40001,1068,TCP,2,0.0,0,NORMAL
1719729724.037274,192.168.238.128,192.168.238.155,40001,9943,TCP,2,0.0,0,NORMAL
1719729724.037317,192.168.238.128,192.168.238.155,40001,1090,TCP,2,0.0,0,NORMAL
1719729724.037332,192.168.238.128,192.168.238.155,40001,2126,TCP,2,0.0,0,NORMAL
1719729724.037376,192.168.238.128,192.168.238.155,40001,999,TCP,2,0.0,0,NORMAL
1719729724.03739,192.168.238.128,192.168.238.155,40001,49161,TCP,2,0.0,0,NORMAL
1719729724.03931,192.168.238.128,192.168.238.155,40001,2013,TCP,2,0.0,0,NORMAL
1719729724.039355,192.168.238.128,192.168.238.155,40001,5911,TCP,2,0.0,0,NORMAL
1719729724.039516,192.168.238.128,192.168.238.155,40001,1021,TCP,2,0.0,0,NORMAL
1719729724.039546,192.168.238.128,192.168.238.155,40001,8402,TCP,2,0.0,0,NORMAL
1719729724.039657,192.168.238.128,192.168.238.155,40001,2007,TCP,2,0.0,0,NORMAL
1719729724.039691,192.168.238.128,192.168.238.155,40001,2557,TCP,2,0.0,0,NORMAL
1719729724.0398,192.168.238.128,192.168.238.155,40001,2000,TCP,2,0.0,0,NORMAL
1719729724.039841,192.168.238.128,192.168.238.155,40001,11967,TCP,2,0.0,0,NORMAL
1719729724.039952,192.168.238.128,192.168.238.155,40001,10000,TCP,2,0.0,0,NORMAL
1719729724.039984,192.168.238.128,192.168.238.155,40001,10010,TCP,2,0.0,0,NORMAL
1719729724.04013,192.168.238.128,192.168.238.155,40001,8002,TCP,2,0.0,0,NORMAL
1719729724.040158,192.168.238.128,192.168.238.155,40001,1073,TCP,2,0.0,0,NORMAL
1719729724.040313,192.168.238.128,192.168.238.155,40001,5226,TCP,2,0.0,0,NORMAL
1719729724.040343,192.168.238.128,192.168.238.155,40001,5800,TCP,2,0.0,0,NORMAL
1719729724.040453,192.168.238.128,192.168.238.155,40001,1600,TCP,2,0.0,0,NORMAL
1719729724.040487,192.168.238.128,192.168.238.155,40001,5190,TCP,2,0.0,0,NORMAL
1719729724.040632,192.168.238.128,192.168.238.155,40001,417,TCP,2,0.0,0,NORMAL
1719729724.040662,192.168.238.128,192.168.238.155,40001,32776,TCP,2,0.0,0,NORMAL
1719729724.040824,192.168.238.128,192.168.238.155,40001,1914,TCP,2,0.0,0,NORMAL
1719729724.040854,192.168.238.128,192.168.238.155,40001,8290,TCP,2,0.0,0,NORMAL
1719729724.040957,192.168.238.128,192.168.238.155,40001,3527,TCP,2,0.0,0,NORMAL
1719729724.040986,192.168.238.128,192.168.238.155,40001,2288,TCP,2,0.0,0,NORMAL
1719729724.041124,192.168.238.128,192.168.238.155,40001,666,TCP,2,0.0,0,NORMAL
1719729724.041152,192.168.238.128,192.168.238.155,40001,2399,TCP,2,0.0,0,NORMAL
1719729724.041295,192.168.238.128,192.168.238.155,40001,32779,TCP,2,0.0,0,NORMAL
1719729724.041317,192.168.238.128,192.168.238.155,40001,88,TCP,2,0.0,0,NORMAL
1719729724.041398,192.168.238.128,192.168.238.155,40001,9999,TCP,2,0.0,0,NORMAL
1719729724.041428,192.168.238.128,192.168.238.155,40001,1084,TCP,2,0.0,0,NORMAL
1719729724.04156,192.168.238.128,192.168.238.155,40001,8800,TCP,2,0.0,0,NORMAL
1719729724.041587,192.168.238.128,192.168.238.155,40001,7625,TCP,2,0.0,0,NORMAL
1719729724.04173,192.168.238.128,192.168.238.155,40001,1044,TCP,2,0.0,0,NORMAL
1719729724.041753,192.168.238.128,192.168.238.155,40001,9485,TCP,2,0.0,0,NORMAL
1719729724.041825,192.168.238.128,192.168.238.155,40001,11110,TCP,2,0.0,0,NORMAL
1719729724.041848,192.168.238.128,192.168.238.155,40001,5004,TCP,2,0.0,0,NORMAL
1719729724.041935,192.168.238.128,192.168.238.155,40001,9503,TCP,2,0.0,0,NORMAL
1719729724.041963,192.168.238.128,192.168.238.155,40001,2200,TCP,2,0.0,0,NORMAL
1719729724.042112,192.168.238.128,192.168.238.155,40001,15660,TCP,2,0.0,0,NORMAL
1719729724.04214,192.168.238.128,192.168.238.155,40001,2605,TCP,2,0.0,0,NORMAL
1719729724.042301,192.168.238.128,192.168.238.155,40001,61900,TCP,2,0.0,0,NORMAL
1719729724.042325,192.168.238.128,192.168.238.155,40001,1594,TCP,2,0.0,0,NORMAL
1719729724.042473,192.168.238.128,192.168.238.155,40001,2041,TCP,2,0.0,0,NORMAL
1719729724.042503,192.168.238.128,192.168.238.155,40001,1041,TCP,2,0.0,0,NORMAL
1719729724.042647,192.168.238.128,192.168.238.155,40001,1056,TCP,2,0.0,0,NORMAL
1719729724.042674,192.168.238.128,192.168.238.155,40001,1099,TCP,2,0.0,0,NORMAL
1719729724.042827,192.168.238.128,192.168.238.155,40001,3221,TCP,2,0.0,0,NORMAL
1719729724.042854,192.168.238.128,192.168.238.155,40001,28201,TCP,2,0.0,0,NORMAL
1719729724.042958,192.168.238.128,192.168.238.155,40001,406,TCP,2,0.0,0,NORMAL
1719729724.042983,192.168.238.128,192.168.238.155,40001,27352,TCP,2,0.0,0,NORMAL
1719729724.043135,192.168.238.128,192.168.238.155,40001,9,TCP,2,0.0,0,NORMAL
